FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,CANCELLED,DISTANCE
2023-04-13,AS,939,MIA,LAX,1650,-3.4,-2.709667674005975,0,884
2024-03-11,DL,320,DEN,ATL,1750,51.2,44.72730737283835,0,714
2023-09-28,DL,470,PHX,DFW,1235,0.3,2.639853877124758,0,2521
2023-04-17,DL,1373,DTW,SEA,1835,2.3,-1.7303282758078655,0,1055
2023-03-13,DL,1878,SFO,MSP,1120,-4.0,-7.840555252433985,0,671
2024-12-01,F9,2101,BOS,FLL,1650,145.6,137.08473663081404,0,508
2023-01-21,WN,123,SFO,DEN,1500,23.4,26.679642820322133,0,1440
2024-09-06,B6,2476,BOS,JFK,1235,1.6,-1.854026195096338,0,1867
2023-05-02,NK,3511,PHX,CLT,1835,1.4,13.395475089419497,0,1303
2024-04-11,UA,3599,MSP,BOS,1410,-5.7,0.47838362901871534,0,322
2023-08-03,F9,2952,LAS,DFW,1715,28.5,31.65833133565246,0,786
2023-11-27,NK,3446,CLT,MIA,1630,21.4,22.972334053706494,0,1121
2024-04-03,AS,360,PHX,SEA,1300,-3.6,-6.355700795167111,0,632
2023-03-29,B6,2875,LAS,CLT,1035,1.1,9.785061226113779,0,443
2024-01-08,UA,600,DEN,IAH,1930,1.1,-1.8801707925341509,0,1134
2023-04-10,AS,2074,SFO,MSP,615,1.3,-2.090375537949517,0,1462
2024-10-25,DL,663,ATL,IAH,1820,-2.8,2.017179650916086,0,1274
2023-05-11,WN,3077,DFW,DTW,1310,-9.3,-4.7238933608265175,0,1724
2024-10-23,UA,1490,DFW,DEN,1650,-2.0,-1.8757880178438917,0,1224
2023-11-05,UA,1259,BOS,PHX,1035,3.4,6.502605256965401,0,730
2023-12-10,AA,3409,DEN,JFK,1115,57.9,59.498243283544184,0,1597
2024-05-06,WN,1127,DFW,IAH,930,2.4,3.702874900251606,0,1115
2024-02-18,WN,1871,JFK,ATL,1900,32.2,31.061748893410666,0,675
2024-01-21,F9,2140,ORD,LAS,610,40.4,41.231073810809455,0,1605
2023-07-11,WN,2505,SEA,BOS,1150,-1.1,-9.896763439119407,0,1894
2023-10-04,F9,2859,MSP,CLT,1010,36.9,34.26727468687234,0,2007
2023-06-10,B6,2220,FLL,IAH,1715,-5.6,-9.622096257938388,0,1123
2024-04-04,F9,1164,FLL,LAX,1310,-2.1,4.380697770312041,0,2309
2023-11-10,F9,2643,CLT,FLL,815,-7.5,-11.272406407903468,0,245
2023-01-22,DL,2572,ATL,SFO,1345,3.2,0.650802770515464,0,1333
2023-09-10,AA,1882,CLT,DEN,920,72.7,69.78040991546649,0,1411
2024-07-14,B6,3714,EWR,CLT,515,33.4,30.522080828197655,0,587
2024-04-19,F9,194,PHX,MSP,1350,77.8,78.87845932712798,0,2355
2023-02-28,AS,159,ORD,CLT,1120,-7.1,-6.18446845857808,0,2498
2024-05-25,DL,1558,SEA,EWR,950,-0.2,-1.888403628469849,0,1354
2024-11-12,NK,3979,ORD,ATL,810,-6.4,-7.150135958920797,0,1186
